id,description
101,"Кроссовки Adidas, размер 43, белый"
102,"Футболка хлопковая, размер L, серый"
103,"Наушники JBL, беспроводные, серебристый"
104,"Рюкзак городской, 20л, темно-синий"
105,"Часы Casio, водонепроницаемые, черный"
106,"Кофемашина DeLonghi, автоматическая, серебро"
107,"Микроволновая печь LG, 20л, белый"
108,"Книга 'Мастер и Маргарита', твердый переплет"
109,"Кресло офисное, эргономичное, черный"
110,"Лампа настольная, светодиодная, белый"
111,"Планшет iPad, 64gb, космический серый"
112,"Коврик для йоги, антискользящий, фиолетовый"
113,"Бутылка для воды, металлическая, красный"
114,"Термос 1л, стальной, классический"
115,"Клавиатура механическая, RGB, черный"
116,"Мышь игровая, 16000dpi, черный"
117,"Монитор Dell 24 дюйма, IPS, черный"
118,"Блендер погружной, 800Вт, черный"
119,"Тостер на 2 слота, нержавеющая сталь"
120,"Зонт-автомат, складной, синий"
121,"Кошелек кожаный, горизонтальный, коричневый"
122,"Чехол для смартфона, силиконовый, прозрачный"
123,"Внешний аккумулятор 10000mAh, белый"
124,"Пылесос вертикальный, беспроводной, красный"
125,"Сковорода антипригарная, 24см, черный"
126,"Набор кухонных ножей, 5 предметов"
127,"Полотенце банное, 100% хлопок, бежевый"
128,"Подушка ортопедическая, эффект памяти"
129,"Фен для волос, 2 скорости, черный"
130,"Увлажнитель воздуха, ультразвуковой, белый"
